"Taux de pauvrete total","Taux de pauvrete > 30 ","Taux de pauvrete 30 - 39","Taux de pauvrete 40 - 49","Taux de pauvrete 50 -59","Taux de pauvrete 60 -74","Taux de pauvrete => 75","part_actifs_stables : ","PDDT tec","esperance de vie homme"," part des vehicules criticair 1 essence","Moy_dist_km_actif","Moy_dist_min_actif"," Emission en equivalent CO2 pour le methane","nombre de personnes en logement social","part des foyers fiscaux imposés","accessiblité potentielle au medecins generalistes","revenu fiscal median declaré par unité","esperance de vie des femmr"
10.3,17.8,11.2,11.1,10.1,6.8,7.4,34.71,11.61,79.6,111806,22.5575911415652,24.5925058361457,NA,161288.099460918,53.2,3.94889647278391,22600,85.9
13.2,21.3,16.6,15.6,12.3,8.5,6.6,28.38,9.3,79.9,53723,22.3981155774728,25.1316311111936,NA,105117.679319044,53.7,2.61009712718875,21820,85.4
15,22.6,18.1,17.9,16.1,10.6,12.9,39.68,1.85,80,11956,21.2591107635623,20.2584518655377,NA,9439.17328535128,44.9,3.4077673174589,20320,85.7
17,23.8,19.4,19.5,17.3,12.8,14.3,34.47,2.09,79.7,22701,21.5133640005832,21.394163664159,NA,19725.3592390507,42,2.86552222511886,19420,85.4
14.5,19,16.1,15.6,14.2,11.2,15.1,51.51,1.22,79.2,4281,17.2470211237051,17.8094606699111,NA,5122.95716010627,43.2,2.87639585747818,19850,85.2
11.4,18.8,13,12.6,11.3,7.3,7.5,38.23,5.34,80.5,51137,22.2023688760457,21.2206131005972,NA,124923.856208272,45.6,3.81284151191275,20640,86.4
12,17.1,13.9,14.1,12.2,8.2,10,37.25,2.66,78.4,32523,21.8529166832744,20.7926630536892,NA,65652.7296843659,45.6,3.14368387309498,20620,85.6
14.4,25.6,18,16.4,13.2,8.6,7.7,43.8,7.35,78.3,44557,19.4647190527127,22.5844102529823,NA,136620.359658142,52.6,3.93457570713529,21630,84.5
14.9,21.7,18.6,18.2,14.9,10,10.6,40.35,2.13,77.2,11592,19.8342345151922,19.5233771591418,NA,25211.2777000355,44.2,3.26022512774085,19700,84.5
11.5,17.1,12.9,12.6,11.6,7.8,9.4,35.88,2.5,80,18360,17.654249173943,19.2983425582493,NA,28123.7632177529,44.5,2.84795797226358,20290,86.2
15.4,27.3,18.7,17.9,14.2,9.5,8.9,23.58,9.91,79.2,61252,23.1379845537359,24.0352487127231,NA,99270.0039345906,46.6,4.05322506170232,21350,85
14.5,22.8,17.6,16.2,14.3,10.4,10.7,31.08,2.22,78,12076,21.7228136020867,21.3619437625099,NA,16417.9386990743,43.7,3.26217258971547,20180,84.6
11.2,19.1,13.1,12.9,11.9,7.2,8.5,31.95,3.26,78.2,61548,24.3004190612384,23.1991866112662,NA,66066.9896654004,49.1,3.80245732789358,21380,85.3
15.3,24.4,19.9,18.4,13.5,9.8,9.8,23.05,8.32,78.8,91456,21.9022826084488,21.3731110010724,NA,136372.59617136,44.1,3.75319295169728,21500,83.8
15.7,24.9,20.5,19.4,17.2,10.9,9.2,36.99,3.08,77.1,14474,20.2879218728323,20.4371643619221,NA,19784.064855776,45,2.66802833305739,19930,83.8
19.1,29.6,21.7,21.5,18.6,12.9,11.3,26.28,11.83,77.4,196912,20.2960516331822,24.2823427017656,NA,542802.992022151,45.5,4.38177495608526,19570,83.8
12.9,19.8,15.6,14.6,12.1,8.7,7.6,21.9,10.81,78.6,100389,28.2515887643584,31.1329615782082,NA,148294.485632698,54.5,2.88308812322486,22120,84.5
15.4,23.8,19.5,18.8,16.5,9.9,9.4,33.81,2.04,78.5,17491,21.545274934823,20.9082002533372,NA,35999.2508947209,42.9,2.44427048228912,19590,85.1
19.3,31.1,23,21.4,18.5,12.4,12.5,23.99,4.71,76.1,103958,22.6604446439827,22.7169106621511,NA,287607.976838081,41.1,4.15984063228438,18620,83.3
13.2,23.5,15.2,14.3,12.9,9,9.5,33.76,6.66,79.4,54386,19.2909391488015,22.7508080685036,NA,80070.8442896715,50.8,3.75375552433105,21700,85.6
12.3,20.7,13.4,14.1,13,8.5,9.6,32.81,3.73,80.3,64824,24.4059501130289,23.6375914959504,NA,65108.0696076212,50.8,4.17268553530123,21860,86
15.4,26.6,19.6,17.3,15.2,10.6,12.5,32.81,1.82,79.9,17585,20.694236414773,20.9296722977277,NA,21142.2162073171,44.4,3.62739147662778,20130,84.5
21,33.6,26.4,24.8,22.7,14.2,13.6,39.7,3.38,78.4,38905,20.8696712182563,21.1593976055608,NA,48045.0861485793,42.1,3.93958170964172,18830,84.6
13.7,22.7,17.4,16.4,12.2,8.8,7.4,32.41,13.19,79.6,97838,19.7161886699206,20.7903904679767,NA,143672.694906081,55,4.53244843084456,22820,84.9
12.9,20.1,16.8,15.6,11.9,8.4,6.9,25.85,7.06,79.9,75445,19.3173576771669,21.3369394201692,NA,102121.032014219,56.2,3.38488674841443,23400,84.7
14.2,21.1,15.6,16.7,13.9,9.4,8,34.96,24.01,81.3,159414,19.2858086418163,26.1130035255763,NA,355911.792513754,57.3,3.80307814633864,23090,86.6
13.2,19.9,15.6,15,13,9.4,10.1,24.6,2.44,78.8,15892,20.8856591044739,22.6199683248244,NA,20312.0354295522,45.1,3.39401254335142,20280,84.5
13.1,19.8,16.4,15.3,13.1,9,9.8,33.67,3.12,79.4,43061,21.0293717910626,21.2454284394641,NA,71181.0204601537,47.2,2.95292328803052,20580,85.3
13.1,21.8,15.8,15.4,13.1,8.1,7.2,34.49,7.11,79,40496,21.6085049667639,22.9350346204379,NA,72598.4304798759,47.7,2.75691808739476,20730,85.3
10,15.6,11.5,11.5,10,6.8,6.9,35.2,6.11,80.4,42981,20.2014141788579,20.0705301446129,NA,64322.2886752242,56.9,3.896738757834,23190,86.4
8.9,12,9.5,9.6,8.5,7.5,7.1,30.83,6.73,81.6,102478,17.7261049322433,20.0799741883238,NA,103645.153100897,57.1,3.43934766659773,27390,86.3
15.2,16.2,11.8,16.1,18.4,15.7,10.7,68.35,64.31,81.8,134048,11.6499131906057,32.4408810772493,NA,464898.417342775,69,3.63868464296909,30150,86.8
14.9,24.7,17.8,17.1,14.2,9.6,8.2,30.34,10.33,77.9,116558,21.4391128906755,24.0474327609327,NA,280629.942180347,49.7,3.64555028891198,20920,84.5
